Project,DefectId,DeprecatedDefectId,IssueReportLink,LinkedToBugTracker,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,BugOrFeature,IsRegression,Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,PatchFound:AE,PatchFound:GenProgC,PatchFound:TrpAutoRepair,PatchFound:KaliC,PatchFound:SPR,PatchFound:Prophet,PatchQuality:AE,PatchQuality:GenProgC,PatchQuality:TrpAutoRepair,PatchQuality:KaliC,PatchQuality:SPR,PatchQuality:Prophet
fbc,5251-5252,5251-5252,NA,0,10,57,442,2,NA,NA,NA,NA,NA,NA,feature,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
fbc,5458-5459,5458-5459,NA,0,1,2,470,1,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,plausible,plausible,,plausible,plausible,correct
fbc,5556-5557,5556-5557,NA,0,1,1,472,1,NA,NA,NA,NA,NA,NA,bug,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
gmp,13420-13421,13420-13421,NA,0,1,7,143,3,65.26,NA,NA,NA,NA,NA,bug,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,correct,correct
gmp,14166-14167,14166-14167,NA,0,1,1,145,1,81.67,NA,NA,NA,NA,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
gzip,2009-08-16-3fe0caeada-39a362ae9d,3fe0caeada6aa3-39a362ae9d9b00,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=507263,1,1,4,3,1,54.37,NA,2,2,NA,NA,bug,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,plausible,,plausible,plausible,plausible,plausible
gzip,2009-09-26-a1d3d4019d-f17cbd13a1,a1d3d4019ddd22-f17cbd13a1d0a7,http://www.mail-archive.com/bug-gzip@gnu.org/msg00213.html,1,1,1,4,1,24.78,NA,1,NA,NA,NA,bug,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,plausible,,,,correct,correct
gzip,2009-10-09-1a085b1446-118a107f2d,1a085b1446a23b-118a107f2d3ae5,NA,0,1,5,6,1,34.06,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,plausible,,,,
gzip,2010-01-30-fc00329e3d-1204630c96,fc00329e3dc139-1204630c96e0c3,NA,0,2,19,8,1,43.32,NA,NA,NA,NA,NA,feature,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,
gzip,2010-02-19-3eb6091d69-884ef6d16c,3eb6091d69a-884ef6d16c6,NA,0,1,3,9,1,41.55,NA,NA,NA,NA,NA,bug,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
libtiff,2005-12-14-6746b87-0d3d51d,10a4985-5362170,NA,0,1,44,35,2,21.57,NA,NA,NA,NA,NA,bug,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,plausible,plausible,plausible,,,
libtiff,2005-12-21-3b848a7-3edb9cd,d13be72c-ccadf48a,NA,0,1,1,35,2,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,correct
libtiff,2005-12-27-6f76e76-5dac30f,29a9d93-b8aa549,NA,0,8,604,35,1,NA,NA,NA,NA,NA,NA,bug,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,
libtiff,2006-02-23-b2ce5d8-207c78a,a2f7abf-ce76d31,http://bugzilla.remotesensing.org/show_bug.cgi?id=1088 (doesn’t work),1,1,5,35,1,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,
