Project,DefectId,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,ChangesType,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod,IssueReportLink,BugOrFeature,IsRegression,PatchFound:GenProgJava,PatchFound:KaliJava,PatchFound:Nopol,PatchQuality:GenProgJava,PatchQuality:KaliJava,PatchQuality:Nopol
Chart,1,1,1,436,1,57.8,2,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/983/,bug,0,1,1,0,incorrect,incorrect,NA
Chart,2,1,14,555,2,74.5,1182,NA,5,NA,NA,1,0,0,0,1,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/959/,bug,0,0,0,0,NA,NA,NA
Chart,3,1,2,86,1,79.4,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,bug,0,1,0,1,incorrect,NA,incorrect
Chart,4,1,2,431,22,70.6,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,5,1,5,292,1,76.6,208,NA,5,NA,NA,0,0,0,0,1,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/862/,bug,0,1,1,1,incorrect,incorrect,correct
Chart,6,1,11,486,2,93.1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,7,1,2,16,1,88.6,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,1,0,0,incorrect,NA,NA
Chart,8,1,1,23,1,48.8,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,9,1,1,64,1,75.7,7,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/818/,bug,0,0,0,0,NA,NA,NA
Chart,10,1,1,1,1,100,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,11,1,1,543,1,40.9,5,NA,2,NA,NA,1,0,0,0,0,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/868/,bug,0,0,0,0,NA,NA,NA
