project, defectid,file-count,line-count,relevant-test-count,triggering-test-count,statement-level-coverage,time-to-fix,versions,priority,dependents,defect-type (bug vs feature-request),defect-type (defect vs regression),Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,Linked,issue-report-link,GenProgJava,KaliJava,Nopol,AllJava,GenProgJava patch-quality,KaliJava patch-quality,Nopol patch-quality
Chart,1,1,1,64,1,57.8,2,NA,2,NA,bug,defect,0,0,0,0,1,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/983/,1,1,0,1,incorrect,incorrect,
Chart,2,1,14,73,2,74.5,1182,NA,5,NA,bug,defect,1,0,0,0,1,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/959/,0,0,0,0,,,
Chart,3,1,2,5,1,79.4,NA,NA,NA,NA,bug,defect,1,0,0,0,0,0,0,0,0,no,NA,1,0,1,1,incorrect,,incorrect
Chart,4,1,2,70,22,70.6,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,0,0,0,,,
Chart,5,1,5,36,1,76.6,208,NA,5,NA,bug,defect,0,0,0,0,1,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/862/,1,1,1,1,incorrect,incorrect,correct
Chart,6,1,11,80,2,93.1,NA,NA,NA,NA,bug,defect,1,0,0,0,0,0,0,1,0,no,NA,0,0,0,0,,,
Chart,7,1,2,2,1,88.6,NA,NA,NA,NA,bug,defect,0,0,1,0,0,0,0,0,0,no,NA,1,0,0,1,incorrect,,
Chart,8,1,1,1,1,48.8,NA,NA,NA,NA,bug,defect,0,0,1,0,0,0,0,0,0,no,NA,0,0,0,0,,,
Chart,9,1,1,5,1,75.7,7,NA,2,NA,bug,defect,0,0,0,0,1,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/818/,0,0,0,0,,,
Chart,10,1,1,1,1,100,NA,NA,NA,NA,bug,defect,1,0,0,0,0,0,0,0,0,no,NA,0,0,0,0,,,
Chart,11,1,1,105,1,40.9,5,NA,2,NA,bug,defect,1,0,0,0,0,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/868/,0,0,0,0,,,
Chart,12,1,1,34,1,32.1,NA,NA,NA,NA,bug,defect,1,0,0,0,0,0,0,0,0,no,NA,0,0,0,0,,,
Chart,13,1,1,38,1,63.3,NA,NA,NA,NA,bug,defect,0,0,1,0,0,0,0,0,0,no,NA,1,1,1,1,incorrect,incorrect,incorrect
Chart,14,2,12,93,4,73.5,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,0,0,0,,,
Chart,15,1,5,36,1,79.7,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,1,1,0,1,incorrect,incorrect,
Chart,16,1,3,2,8,73.7,6,NA,2,NA,bug,defect,1,0,0,0,1,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/834/,0,0,0,0,,,
Chart,17,1,2,5,1,75.6,7,NA,2,NA,bug,defect,1,0,0,0,0,0,0,0,0,yes,http://sourceforge.net/p/jfreechart/bugs/803/,0,0,0,0,,,
Chart,18,2,13,49,4,87.1,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,0,0,0,,,
Chart,19,1,6,61,2,76.7,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,0,0,0,,,
Chart,20,1,1,50,1,86.4,NA,NA,NA,NA,bug,defect,0,0,1,0,0,0,0,0,0,no,NA,0,0,0,0,,,
Chart,21,1,39,2,1,84.3,NA,NA,NA,NA,bug,defect,1,0,0,0,1,0,0,1,0,no,NA,0,0,1,1,,,incorrect
Chart,22,1,127,6,6,80.6,NA,NA,NA,NA,bug,defect,1,0,0,0,1,0,1,1,1,no,NA,0,0,0,0,,,
Chart,23,1,19,1,1,43.8,NA,NA,NA,NA,bug,defect,1,0,0,0,0,0,0,0,0,no,NA,0,0,0,0,,,
Chart,24,1,1,3,1,96,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,0,0,0,,,
Chart,25,1,14,1,4,69.4,NA,NA,NA,NA,bug,defect,1,0,0,0,1,0,0,0,0,no,NA,1,1,1,1,incorrect,incorrect,incorrect
Chart,26,1,2,105,22,89.9,NA,NA,NA,NA,bug,defect,0,0,0,0,1,0,0,0,0,no,NA,0,1,1,1,,incorrect,incorrect
Closure,1,1,3,6,8,98.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,2,1,4,172,1,97.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
