Project,DefectId,RelevantTestCount,TriggeringTestCount
Chart,1,436,1
Chart,2,555,2
Chart,3,86,1
Chart,4,431,22
Chart,5,292,1
Chart,6,486,2
Chart,7,16,1
Chart,8,23,1
Chart,9,64,1
Chart,10,1,1
Chart,11,543,1
Chart,12,201,1
Chart,13,195,1
Chart,14,519,4
Chart,15,199,1
Chart,16,25,8
Chart,17,60,1
Chart,18,327,4
Chart,19,366,2
Chart,20,296,1
Chart,21,17,1
Chart,22,51,6
Chart,23,5,1
Chart,24,15,1
Chart,25,9,4
Chart,26,543,22
Lang,1,173,1
Lang,2,14,1
Lang,3,172,1
Lang,4,137,1
Lang,5,13,1
Lang,6,142,1
Lang,7,166,1
Lang,8,155,2
Lang,9,166,2
Lang,10,164,2
Lang,11,11,1
Lang,12,10,2
Lang,13,208,1
Lang,14,834,1
Lang,15,10,2
Lang,16,164,1
Lang,17,45,1
Lang,18,93,1
Lang,19,32,2
Lang,20,585,2
Lang,21,116,1
Lang,22,25,2
Lang,23,1,1
Lang,24,110,1
Lang,25,32,1
Lang,26,93,1
Lang,27,110,1
Lang,28,20,1
Lang,29,636,1
Lang,30,582,10
Lang,31,571,2
Lang,32,45,1
Lang,33,255,1
Lang,34,344,27
Lang,35,795,1
Lang,36,110,2
Lang,37,657,1
Lang,38,59,1
Lang,39,523,1
Lang,40,516,1
Lang,41,241,2
Lang,42,54,1
Lang,43,7,1
Lang,44,20,1
Lang,45,82,1
Lang,46,87,1
Lang,47,206,2
Lang,48,281,1
Lang,49,25,1
Lang,50,35,2
Lang,51,190,1
Lang,52,74,1
Lang,53,31,1
Lang,54,12,1
Lang,55,6,1
Lang,56,33,1
Lang,57,11,11
Lang,58,256,1
Lang,59,186,1
Lang,60,185,1
Lang,61,184,2
Lang,62,47,1
Lang,63,16,1
Lang,64,75,1
Lang,65,30,1
Math,1,313,2
Math,2,16,1
Math,3,2197,1
Math,4,52,2
Math,5,257,1
Math,6,230,28
Math,7,169,1
Math,8,22,1
Math,9,35,1
Math,10,369,1
Math,11,10,1
Math,12,707,3
Math,13,89,1
Math,14,92,1
Math,15,3042,1
Math,16,3040,2
Math,17,88,1
Math,18,26,1
Math,19,25,1
Math,20,24,1
Math,21,24,2
Math,22,98,2
Math,23,17,1
Math,24,16,1
Math,25,7,1
Math,26,213,1
Math,27,213,1
Math,28,26,1
Math,29,78,3
Math,30,3,1
Math,31,317,2
Math,32,23,1
Math,33,28,1
Math,34,24,1
Math,35,12,4
Math,36,94,2
Math,37,264,4
Math,38,19,1
Math,39,69,1
Math,40,90,1
Math,41,236,1
Math,42,27,1
Math,43,78,6
Math,44,164,1
Math,45,461,1
Math,46,199,2
Math,47,199,2
Math,48,36,1
Math,49,35,1
Math,50,36,1
Math,51,36,1
Math,52,28,1
Math,53,179,1
Math,54,64,1
Math,55,88,1
Math,56,5,1
Math,57,4,1
Math,58,8,1
Math,59,1727,1
Math,60,26,1
Math,61,12,1
Math,62,2,1
Math,63,907,1
Math,64,57,2
Math,65,77,1
Math,66,10,4
Math,67,2,1
Math,68,44,2
Math,69,17,2
Math,70,16,1
Math,71,116,2
Math,72,214,1
Math,73,214,1
Math,74,56,1
Math,75,8,1
Math,76,17,2
Math,77,346,2
Math,78,118,1
Math,79,866,1
Math,80,36,1
Math,81,35,1
Math,82,14,1
Math,83,17,1
Math,84,5,2
Math,85,92,1
Math,86,12,2
Math,87,16,1
Math,88,15,1
Math,89,7,1
Math,90,7,1
Math,91,62,1
Math,92,547,1
Math,93,546,1
Math,94,546,1
Math,95,23,1
Math,96,171,1
Math,97,129,1
Math,98,133,2
Math,99,560,2
Math,100,48,1
Math,101,70,2
Math,102,30,6
Math,103,20,1
Math,104,133,1
Math,105,9,1
Math,106,16,1
Time,1,4011,1
Time,2,4011,1
Time,3,1307,5
Time,4,770,1
Time,5,1950,3
Time,6,2663,5
Time,7,2703,2
Time,8,3950,1
Time,9,3950,1
Time,10,371,2
Time,11,8,1
Time,12,1674,8
Time,13,972,1
Time,14,3877,8
Time,15,3640,1
Time,16,2596,7
Time,17,3865,1
Time,18,2546,1
Time,19,3853,1
Time,20,2577,1
Time,21,3848,2
Time,22,1875,2
Time,23,3810,1
Time,24,1038,7
Time,25,3792,3
Time,26,3781,8
Time,27,739,1
