Project,DefectId,RelevantTestCount,TriggeringTestCount
fbc,5251-5252,442,2
fbc,5458-5459,470,1
fbc,5556-5557,472,1
gmp,13420-13421,143,3
gmp,14166-14167,145,1
gzip,2009-08-16-3fe0caeada-39a362ae9d,3,1
gzip,2009-09-26-a1d3d4019d-f17cbd13a1,4,1
gzip,2009-10-09-1a085b1446-118a107f2d,6,1
gzip,2010-01-30-fc00329e3d-1204630c96,8,1
gzip,2010-02-19-3eb6091d69-884ef6d16c,9,1
libtiff,2005-12-14-6746b87-0d3d51d,35,2
libtiff,2005-12-21-3b848a7-3edb9cd,35,2
libtiff,2005-12-27-6f76e76-5dac30f,35,1
libtiff,2006-02-23-b2ce5d8-207c78a,35,1
libtiff,2006-02-27-6074705-e6d0c32,36,1
libtiff,2006-03-03-a72cf60-0a36d7f,36,5
libtiff,2006-03-03-eec4c06-ee65c74,36,5
libtiff,2007-07-08-bd2f947-ccc10c7,60,44
libtiff,2007-07-08-c766cb7-0cc95fb,60,44
libtiff,2007-07-13-09e8220-f2d989d,61,1
libtiff,2007-07-19-ce4b7af-7d6e298,61,2
libtiff,2007-08-24-827b6bc-22da1d6,61,2
libtiff,2007-11-02-371336d-865f7b2,61,1
libtiff,2007-11-23-82e378c-cf05a83,61,1
libtiff,2008-04-15-2e8b2f1-0d27dc0,62,1
libtiff,2008-09-05-d59e7df-5f42dba,63,1
libtiff,2008-12-30-362dee5-565eaa2,64,1
libtiff,2009-02-05-764dbba-2e42d63,73,9
libtiff,2009-06-30-b44af47-e0b51f3,74,1
libtiff,2009-08-28-e8a47d4-023b6df,74,1
libtiff,2009-09-03-6406250-6b6496b,77,4
libtiff,2010-06-30-1563270-1136bdf,77,1
libtiff,2010-11-27-eb326f9-eec7ec0,77,1
libtiff,2010-12-13-96a5fb4-bdba15c,78,1
lighttpd,1794-1795,5,1
lighttpd,1806-1807,17,12
lighttpd,1913-1914,18,1
lighttpd,1948-1949,18,1
lighttpd,2225-2226,18,1
lighttpd,2254-2259,19,1
lighttpd,2330-2331,20,1
lighttpd,2661-2662,20,2
lighttpd,2785-2786,21,1
php,2011-01-06-e7a1d5004e-3571c955b5,7547,1
php,2011-01-09-7c6310852e-478e5d1dd0,7580,10
php,2011-01-18-95388b7cda-b9b1fb1827,7559,2
php,2011-01-18-b5e12bd4da-163b3bcec9,7577,1
php,2011-01-23-bc049ccb62-a6c0a4e474,7562,3
php,2011-01-24-a6c0a4e474-1a8b87d2c5,7563,1
php,2011-01-29-147382033a-5bb0a44e06,7580,1
php,2011-01-30-5bb0a44e06-1e91069eb4,7582,1
php,2011-02-01-01745fa657-1f49902999,7568,1
php,2011-02-01-1f49902999-f2329f1f4b,7569,1
php,2011-02-01-fefe9fc5c7-0927309852,7567,2
php,2011-02-04-793cfe1376-109b8e99e0,7578,9
php,2011-02-05-c50b3d7add-426f31e790,7579,1
php,2011-02-11-f912a2d087-b84967d3e2,7593,1
php,2011-02-14-86efc8e55e-d1d61ce612,7596,2
php,2011-02-16-eb0dd2b8ab-9bbc114b59,7597,1
php,2011-02-19-356b619487-a3a5157286,7598,2
php,2011-02-21-2a6968e43a-ecb9d8019c,7600,1
php,2011-02-21-b21f62eb2d-2a6968e43a,7599,1
php,2011-02-27-e65d361fde-1d984a7ffd,7590,2
php,2011-03-11-d890ece3fc-6e74d95f34,7591,1
php,2011-03-19-5d0c948296-8deb11c0c3,7592,1
php,2011-03-20-2034e14341-7f2937223d,7603,1
php,2011-03-22-0de2e61cab-991ba13174,7594,1
php,2011-03-23-63673a533f-2adf58cfcf,7595,1
php,2011-03-25-8138f7de40-3acdca4703,7596,1
php,2011-03-26-3acdca4703-c2fe893985,7608,3
php,2011-03-27-11efb7295e-f7b7b6aa9e,7605,1
php,2011-03-27-2191af9546-b83e243c23,7604,3
php,2011-04-02-70075bc84c-5a8c917c37,7606,2
php,2011-04-06-187eb235fe-2e25ec9eb7,7609,1
php,2011-04-06-18d71a6f59-187eb235fe,7608,1
php,2011-04-07-77ed819430-efcb9a71cd,7619,1
php,2011-04-07-d3274b7f20-77ed819430,7610,1
php,2011-04-08-efcb9a71cd-6f3148db81,7613,2
php,2011-04-09-db01e840c2-09b990f499,7614,1
php,2011-04-12-465ffa7fa2-c4a8866abb,7622,1
php,2011-04-19-11941b3fd2-821d7169d9,7621,1
php,2011-04-27-53204a26d2-118695a4ea,7617,1
php,2011-04-30-9c285fddbb-93f65cdeac,7618,1
php,2011-05-13-db0c957f02-8ba00176f1,7624,3
php,2011-05-17-453c954f8a-daecb2c0f4,7622,1
php,2011-05-21-f5a9e17f9c-964f44a280,7622,1
php,2011-05-24-b60f6774dc-1056c57fa9,7622,1
php,2011-10-15-0a1cc5f01c-05c5c8958e,7729,1
php,2011-10-16-1f78177e2b-d4ae4e79db,7730,1
